year,city,country,avg_temp
1849,Abidjan,Côte D'Ivoire,25.58
1850,Abidjan,Côte D'Ivoire,25.52
1851,Abidjan,Côte D'Ivoire,25.67
1852,Abidjan,Côte D'Ivoire,
1853,Abidjan,Côte D'Ivoire,
1854,Abidjan,Côte D'Ivoire,
1855,Abidjan,Côte D'Ivoire,
1856,Abidjan,Côte D'Ivoire,26.28
1857,Abidjan,Côte D'Ivoire,25.17
1858,Abidjan,Côte D'Ivoire,25.49
1859,Abidjan,Côte D'Ivoire,25.92
1860,Abidjan,Côte D'Ivoire,25.46
1861,Abidjan,Côte D'Ivoire,25.67
1862,Abidjan,Côte D'Ivoire,25.17
1863,Abidjan,Côte D'Ivoire,
1864,Abidjan,Côte D'Ivoire,
1865,Abidjan,Côte D'Ivoire,
1866,Abidjan,Côte D'Ivoire,
1867,Abidjan,Côte D'Ivoire,
1868,Abidjan,Côte D'Ivoire,
1869,Abidjan,Côte D'Ivoire,
1870,Abidjan,Côte D'Ivoire,
1871,Abidjan,Côte D'Ivoire,
1872,Abidjan,Côte D'Ivoire,
1873,Abidjan,Côte D'Ivoire,25.62
1874,Abidjan,Côte D'Ivoire,25.68
1875,Abidjan,Côte D'Ivoire,25.25
1876,Abidjan,Côte D'Ivoire,25.14
1877,Abidjan,Côte D'Ivoire,25.85
1878,Abidjan,Côte D'Ivoire,25.87
1879,Abidjan,Côte D'Ivoire,25.38
1880,Abidjan,Côte D'Ivoire,25.96
1881,Abidjan,Côte D'Ivoire,26.07
1882,Abidjan,Côte D'Ivoire,25.69
1883,Abidjan,Côte D'Ivoire,26.13
1884,Abidjan,Côte D'Ivoire,26.37
1885,Abidjan,Côte D'Ivoire,26.07
1886,Abidjan,Côte D'Ivoire,25.47
1887,Abidjan,Côte D'Ivoire,24.91
1888,Abidjan,Côte D'Ivoire,24.95
1889,Abidjan,Côte D'Ivoire,25.12
1890,Abidjan,Côte D'Ivoire,24.86
1891,Abidjan,Côte D'Ivoire,25.11
1892,Abidjan,Côte D'Ivoire,25.17
1893,Abidjan,Côte D'Ivoire,25.33
1894,Abidjan,Côte D'Ivoire,25.04
1895,Abidjan,Côte D'Ivoire,25.37
1896,Abidjan,Côte D'Ivoire,25.33
1897,Abidjan,Côte D'Ivoire,25.64
1898,Abidjan,Côte D'Ivoire,25.47
1899,Abidjan,Côte D'Ivoire,26.46
1900,Abidjan,Côte D'Ivoire,26.12
1901,Abidjan,Côte D'Ivoire,25.92
1902,Abidjan,Côte D'Ivoire,25.59
1903,Abidjan,Côte D'Ivoire,25.48
1904,Abidjan,Côte D'Ivoire,25.24
1905,Abidjan,Côte D'Ivoire,25.78
1906,Abidjan,Côte D'Ivoire,26.08
1907,Abidjan,Côte D'Ivoire,25.69
1908,Abidjan,Côte D'Ivoire,25.80
1909,Abidjan,Côte D'Ivoire,25.57
1910,Abidjan,Côte D'Ivoire,25.70
1911,Abidjan,Côte D'Ivoire,25.41
1912,Abidjan,Côte D'Ivoire,26.42
1913,Abidjan,Côte D'Ivoire,26.33
1914,Abidjan,Côte D'Ivoire,26.28
